repo_name,repo_full_name,owner,stars,forks,created_at,updated_at,url,description
PythonDataScienceHandbook,jakevdp/PythonDataScienceHandbook,jakevdp,44939,18389,2016-08-10T14:24:36Z,2025-07-11T00:45:53Z,https://github.com/jakevdp/PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks
Data-Science-For-Beginners,microsoft/Data-Science-For-Beginners,microsoft,29922,6256,2021-03-03T16:30:15Z,2025-07-10T22:17:40Z,https://github.com/microsoft/Data-Science-For-Beginners,"10 Weeks, 20 Lessons, Data Science for All!"
data-science-ipython-notebooks,donnemartin/data-science-ipython-notebooks,donnemartin,28338,7995,2015-01-23T19:38:29Z,2025-07-10T22:17:34Z,https://github.com/donnemartin/data-science-ipython-notebooks,"Data science Python notebooks: Deep learning (TensorFlow, Theano, Caffe, Keras), scikit-learn, Kaggle, big data (Spark, Hadoop MapReduce, HDFS), matplotlib, pandas, NumPy, SciPy, Python essentials, AWS, and various command lines."
applied-ml,eugeneyan/applied-ml,eugeneyan,28095,3778,2020-07-04T18:57:47Z,2025-07-11T01:07:28Z,https://github.com/eugeneyan/applied-ml,ğŸ“š Papers & tech blogs by companies sharing their work on data science & machine learning in production.
awesome-datascience,academic/awesome-datascience,academic,26843,6130,2014-07-05T07:07:43Z,2025-07-10T22:04:33Z,https://github.com/academic/awesome-datascience,:memo: An awesome Data Science repository to learn and apply for real world problems.
go,datasciencemasters/go,datasciencemasters,25518,6158,2013-08-14T08:33:55Z,2025-07-10T13:39:27Z,https://github.com/datasciencemasters/go,The Open Source Data Science Masters
data-science,ossu/data-science,ossu,19981,3719,2016-06-19T15:15:36Z,2025-07-10T22:19:30Z,https://github.com/ossu/data-science,ğŸ“Š Path to a free self-taught education in Data Science!
ds-cheatsheets,FavioVazquez/ds-cheatsheets,FavioVazquez,15518,3969,2018-12-20T17:02:46Z,2025-07-10T22:08:19Z,https://github.com/FavioVazquez/ds-cheatsheets,List of Data Science Cheatsheets to rule the world
Virgilio,virgili0/Virgilio,virgili0,14125,2486,2019-03-12T18:45:36Z,2025-07-10T15:27:04Z,https://github.com/virgili0/Virgilio,Your new Mentor for Data Science E-Learning.
Ai-Learn,tangyudi/Ai-Learn,tangyudi,11420,2487,2020-01-28T01:55:06Z,2025-07-11T01:27:29Z,https://github.com/tangyudi/Ai-Learn,"äººå·¥æ™ºèƒ½å­¦ä¹ è·¯çº¿å›¾ï¼Œæ•´ç†è¿‘200ä¸ªå®æˆ˜æ¡ˆä¾‹ä¸é¡¹ç›®ï¼Œå…è´¹æä¾›é…å¥—æ•™æï¼Œé›¶åŸºç¡€å…¥é—¨ï¼Œå°±ä¸šå®æˆ˜ï¼åŒ…æ‹¬ï¼šPythonï¼Œæ•°å­¦ï¼Œæœºå™¨å­¦ä¹ ï¼Œæ•°æ®åˆ†æï¼Œæ·±åº¦å­¦ä¹ ï¼Œè®¡ç®—æœºè§†è§‰ï¼Œè‡ªç„¶è¯­è¨€å¤„ç†ï¼ŒPyTorch tensorflow machine-learning,deep-learning data-analysis data-mining mathematics data-science artificial-intelligence python tensorflow tensorflow2 caffe keras pytorch algorithm numpy pandas matplotlib seaborn nlp cvç­‰çƒ­é—¨é¢†åŸŸ"
